id,id_partida,id_participante,id_equipe,tipo_evento,minuto_evento,descricao,periodo
141,197,101,20,Gol,0,,Primeiro Tempo
142,197,106,20,Gol,0,,Primeiro Tempo
143,197,106,20,Gol,0,,Primeiro Tempo
144,197,102,20,Gol,0,,Primeiro Tempo
145,197,50,16,Gol,0,,Primeiro Tempo
146,183,17,11,Gol,0,,Primeiro Tempo
147,183,15,11,Gol,0,,Primeiro Tempo
148,183,18,11,Gol,0,,Primeiro Tempo
149,183,15,11,Gol,0,,Primeiro Tempo
150,183,13,11,Gol,0,,Primeiro Tempo
151,183,130,19,Gol,0,,Primeiro Tempo
152,183,127,19,Gol,1,,Primeiro Tempo
153,183,130,19,Gol,1,,Primeiro Tempo
154,183,127,19,Gol,1,,Primeiro Tempo
165,178,132,19,Gol,0,,Primeiro Tempo
166,178,127,19,Gol,0,,Primeiro Tempo
167,178,133,19,Gol,0,,Primeiro Tempo
168,178,25,15,Gol,0,,Primeiro Tempo
169,178,25,15,Gol,0,,Primeiro Tempo
170,178,30,15,Gol,0,,Primeiro Tempo
171,178,30,15,Gol,0,,Primeiro Tempo
172,178,28,15,Gol,1,,Primeiro Tempo
175,183,18,11,Assistência,0,,Segundo Tempo
176,183,15,11,Assistência,0,,Segundo Tempo
177,202,43,14,Gol,0,,Primeiro Tempo
178,202,37,14,Gol,0,,Primeiro Tempo
179,202,41,14,Gol,0,,Primeiro Tempo
180,202,54,16,Gol,0,,Primeiro Tempo
181,202,56,16,Assistência,0,,Primeiro Tempo
182,202,35,14,Assistência,1,,Primeiro Tempo
183,202,44,14,Assistência,1,,Primeiro Tempo
184,202,41,14,Cartão Amarelo,0,,Segundo Tempo
185,202,56,16,Cartão Amarelo,0,,Segundo Tempo
199,205,76,18,Gol,0,,Primeiro Tempo
200,205,75,18,Gol,0,,Primeiro Tempo
201,205,77,18,Gol,1,,Primeiro Tempo
202,205,109,20,Gol,1,,Primeiro Tempo
203,205,101,20,Gol,1,,Primeiro Tempo
204,205,106,20,Gol,1,,Primeiro Tempo
205,201,86,13,Gol,0,,Primeiro Tempo
206,201,86,13,Gol,0,,Primeiro Tempo
207,201,86,13,Gol,0,,Primeiro Tempo
208,201,93,13,Gol,0,,Primeiro Tempo
209,201,87,13,Gol,1,,Primeiro Tempo
210,201,129,19,Gol,1,,Primeiro Tempo
211,201,129,19,Gol,1,,Primeiro Tempo
212,201,134,19,Cartão Amarelo,1,,Primeiro Tempo
213,201,133,19,Cartão Amarelo,2,,Primeiro Tempo
214,201,94,13,Cartão Amarelo,2,,Primeiro Tempo
215,199,65,12,Gol,0,,Primeiro Tempo
216,199,65,12,Gol,0,,Primeiro Tempo
217,199,65,12,Gol,0,,Primeiro Tempo
218,199,116,17,Gol,1,,Primeiro Tempo
219,199,116,17,Gol,1,,Primeiro Tempo
220,199,121,17,Gol,1,,Primeiro Tempo
221,199,114,17,Cartão Amarelo,2,,Primeiro Tempo
222,199,121,17,Cartão Amarelo,2,,Primeiro Tempo
223,199,70,12,Cartão Amarelo,2,,Primeiro Tempo
224,196,65,12,Gol,0,,Primeiro Tempo
225,196,67,12,Falta,1,,Primeiro Tempo
226,196,71,12,Falta,3,,Primeiro Tempo
227,196,61,12,Falta,9,,Primeiro Tempo
228,196,67,12,Gol,10,,Primeiro Tempo
229,196,65,12,Assistência,11,,Primeiro Tempo
230,196,34,14,Falta,12,,Primeiro Tempo
231,196,65,12,Falta,13,,Primeiro Tempo
232,196,37,14,Gol,14,,Primeiro Tempo
233,196,35,14,Falta,15,,Primeiro Tempo
234,196,65,12,Gol,18,,Primeiro Tempo
235,196,65,12,Gol,0,,Segundo Tempo
236,196,62,12,Falta,7,,Segundo Tempo
237,196,39,14,Falta,10,,Segundo Tempo
238,196,44,14,Gol,13,,Segundo Tempo
239,196,39,14,Assistência,13,,Segundo Tempo
240,196,61,12,Assistência,17,,Segundo Tempo
241,196,68,12,Gol,17,,Segundo Tempo
242,196,43,14,Cartão Amarelo,21,,Segundo Tempo
248,244,58,16,Falta,1,,Primeiro Tempo
249,244,58,16,Falta,6,,Primeiro Tempo
250,244,53,16,Falta,11,,Primeiro Tempo
251,244,117,17,Falta,12,,Primeiro Tempo
252,244,119,17,Falta,15,,Primeiro Tempo
253,244,115,17,Cartão Amarelo,23,,Primeiro Tempo
254,244,53,16,Falta,1,,Segundo Tempo
255,244,116,17,Gol,1,,Segundo Tempo
256,244,119,17,Falta,9,,Segundo Tempo
257,244,114,17,Falta,9,,Segundo Tempo
258,244,119,17,Assistência,11,,Segundo Tempo
259,244,116,17,Gol,11,,Segundo Tempo
260,244,56,16,Cartão Amarelo,14,,Segundo Tempo
