id,id_partida,id_equipe_a,id_equipe_b,periodo,hora_inicio,hora_fim
77,197,,,Primeiro Tempo,2025-09-01 20:18:34,2025-09-01 20:19:36
78,197,,,Pausa Primeiro Tempo,2025-09-01 20:19:28,
79,183,,,Primeiro Tempo,2025-09-01 20:20:37,2025-09-01 20:21:59
81,178,,,Primeiro Tempo,2025-09-01 20:25:26,
83,183,,,Segundo Tempo,2025-09-01 20:32:36,2025-09-01 20:33:07
84,202,,,Primeiro Tempo,2025-09-01 20:37:30,2025-09-01 20:40:43
85,202,,,Pausa Primeiro Tempo,2025-09-01 20:38:07,2025-09-01 20:40:06
86,202,,,Segundo Tempo,2025-09-01 20:44:20,2025-09-01 20:44:56
88,205,,,Primeiro Tempo,2025-09-01 20:55:24,2025-09-01 20:57:36
89,201,,,Primeiro Tempo,2025-09-02 17:14:57,2025-09-02 17:17:35
90,199,,,Primeiro Tempo,2025-09-02 17:20:35,2025-09-02 17:23:14
91,196,,,Primeiro Tempo,2025-09-02 19:25:45,2025-09-02 19:48:30
92,196,,,Segundo Tempo,2025-09-02 19:53:34,2025-09-02 20:17:16
96,244,,,Primeiro Tempo,2025-09-16 22:21:37,2025-09-16 22:47:45
97,244,,,Segundo Tempo,2025-09-16 22:51:22,2025-09-16 23:17:47
98,244,,,Tempo Extra,2025-09-16 23:17:58,
99,244,,,Tempo Extra,2025-09-16 23:18:02,
100,245,,,Primeiro Tempo,2025-09-16 23:22:22,2025-09-16 23:47:45
101,245,,,Segundo Tempo,2025-09-16 23:50:12,2025-09-17 00:14:48
102,245,,,Tempo Extra,2025-09-17 00:16:52,2025-09-18 17:45:40
103,245,,,Tempo Extra,2025-09-17 00:16:55,2025-09-18 17:45:49
104,268,,,Primeiro Tempo,2025-09-18 23:37:35,2025-09-18 23:40:59
105,272,,,Primeiro Tempo,2025-09-18 23:49:06,2025-09-18 23:49:34
106,209,,,Primeiro Tempo,2025-09-19 20:59:49,2025-09-19 21:06:07
107,211,,,Primeiro Tempo,2025-09-19 21:10:07,2025-09-19 21:29:30
108,210,,,Primeiro Tempo,2025-09-19 21:30:41,2025-09-19 21:31:41
109,208,,,Primeiro Tempo,2025-09-19 21:41:59,2025-09-19 21:44:41
110,243,,,Primeiro Tempo,2025-09-19 21:52:09,2025-09-19 21:53:54
111,242,,,Primeiro Tempo,2025-09-19 21:56:22,2025-09-19 22:01:33
112,211,,,Segundo Tempo,2025-09-19 22:37:07,2025-09-19 22:38:57
125,241,,,Primeiro Tempo,2025-09-23 22:23:00,2025-09-23 22:48:18
126,241,,,Segundo Tempo,2025-09-23 22:52:25,2025-09-23 23:19:05
127,241,,,Tempo Extra,2025-09-23 23:19:31,2025-09-23 23:19:51
128,241,,,Tempo Extra,2025-09-23 23:19:59,
129,246,,,Primeiro Tempo,2025-09-23 23:26:11,2025-09-23 23:51:33
130,246,,,Segundo Tempo,2025-09-23 23:54:30,2025-09-24 00:15:52
